Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q1_11_TEXT,Q3,Q5,Q5_17_TEXT,Q25,Q25_17_TEXT,Q22,Q22_10_TEXT,Q7,Q26,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
Duration (in seconds),Finished,Recorded Date,Response ID,Where do you work? - Selected Choice,Where do you work? - Other [please explain below] - Text,"What counties does your organization serve? If you're not sure what counties your organization serves, please consult this map.",Please check all of the following methods by which you receive updates and information about opioid-involved overdoses and overdose clusters in your community. - Selected Choice,Please check all of the following methods by which you receive updates and information about opioid-involved overdoses and overdose clusters in your community. - Other [please include more information below] - Text,Which of the following in this list have you found to be MOST HELPFUL in terms of responding to opioid-involved overdoses in your community? - Selected Choice,Which of the following in this list have you found to be MOST HELPFUL in terms of responding to opioid-involved overdoses in your community? - Other [please include more information below] - Text,How do you/your organization respond to opioid-involved overdoses in your community? - Selected Choice,How do you/your organization respond to opioid-involved overdoses in your community? - Other [please explain below] - Text,Who in your organization receives updates and information about opioid-involved overdoses and overdose clusters in your community from the Connecticut Department of Public Health [CT DPH]?,Please check the funding sources your organization receives for your overdose prevention and response efforts.,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
518,TRUE,1/29/2024 8:22,R_3fZtcCqK1qP8i87,Harm reduction organization/SSP,,Litchfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Text messages about overdoses [not from ODMAP],Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites,Other [please explain below]",Deflection Program with multiple police departments across the state.,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff","Department of Mental Health and Addiction Services [DMHAS],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,State alerts,Passive
391,TRUE,1/29/2024 8:35,R_13UbA5IFfxY4MsN,Harm reduction organization/SSP,,"Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Text messages about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,State alerts,Passive
145,TRUE,1/29/2024 8:36,R_5p6lN8Mpj1uZPTi,Harm reduction organization/SSP,,"Fairfield,Litchfield,New Haven","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Text messages about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert text messages from local health governance,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
155,TRUE,1/29/2024 8:47,R_7wlNQeYrXtpwm41,Substance use treatment program,,"Tolland,Hartford,Middlesex","Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff",Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Peer information sharing,Collaborative
174,TRUE,1/29/2024 9:03,R_1lDikD03kBw9USD,"Local ambulance/EMS service,Hospital",,Hartford,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Investigate reasons for recent overdoses",,Emergency department,Department of Public Health [DPH],First responder,No,Informing the public,Platform information,Higher overdose burden,State alerts,Passive
106,TRUE,1/29/2024 9:20,R_1PLcT89Ub8pCPft,Local ambulance/EMS service,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from nearby drug testing sites",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,First responder,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
378,TRUE,1/29/2024 9:24,R_61TqRjtxEMWTcJs,Other [please explain below],Healthcare adjacent (quality management),"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,Other [please explain below],share information with contacts,Other staff,My organization does not receive external funding for overdose prevention,Other,No,Other,Peer information sharing,Higher overdose burden,State alerts,Passive
206,TRUE,1/29/2024 11:49,R_5bIBPJp4O7hOUtx,Local health department/district,,Middlesex,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,Review of ODMAP or other overdose data [e.g. EpiCenter],,My organization does not respond to overdoses,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,Government and health district,No,My organization does not respond to overdoses,Platform information,Lower overdose burden,State alerts,Passive
177,TRUE,1/29/2024 14:29,R_6LB5RJ0PHSFBIgH,Harm reduction organization/SSP,,New Haven,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Phone calls from local health governance,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Be on higher alert for an influx of patients",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff",My organization does not receive external funding for overdose prevention,SSPs and substance use treatment,Yes,Outreach to PWUD,Local alerts,Higher overdose burden,Platform information,Passive
169,TRUE,1/30/2024 9:24,R_3bVqt633eC6Fgm9,"Harm reduction organization/SSP,Other [please explain below]",Homelessness services provider,New Haven,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from local health governance,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff",Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Higher overdose burden,Platform information,Passive
982,TRUE,1/30/2024 14:27,R_65AvT0CmtEI60c3,State/federal government,,"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Text messages about overdoses [not from ODMAP],Communication with colleagues,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff,First responders","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",Government and health district,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
